83 	518 	913 	-1 	744 	-1 	-1 	-1 	-1 	623 	-1 	-1 	-1 	-1 	715 	-1 	-1 	-1 	-1 	-1 	-1 	-1 	-1 	-1 	-1 	497 	-1 	-1 	1003 	-1 	
205 	962 	1214 	-1 	1042 	-1 	-1 	-1 	-1 	-1 	-1 	467 	-1 	-1 	-1 	-1 	906 	-1 	565 	-1 	-1 	-1 	-1 	-1 	-1 	-1 	-1 	-1 	-1 	653 	
630 	1192 	456 	-1 	-1 	678 	-1 	-1 	101 	-1 	-1 	-1 	-1 	-1 	-1 	-1 	716 	-1 	-1 	-1 	543 	-1 	-1 	-1 	-1 	-1 	-1 	-1 	-1 	-1 	
314 	571 	77 	-1 	-1 	832 	-1 	459 	-1 	-1 	-1 	-1 	-1 	-1 	600 	-1 	-1 	-1 	-1 	-1 	-1 	-1 	-1 	284 	-1 	-1 	-1 	-1 	-1 	-1 	
339 	1066 	779 	-1 	853 	-1 	-1 	-1 	-1 	-1 	1148 	-1 	-1 	-1 	-1 	-1 	-1 	180 	-1 	-1 	-1 	1160 	-1 	-1 	-1 	-1 	-1 	182 	-1 	-1 	
503 	818 	348 	389 	-1 	-1 	-1 	-1 	-1 	79 	-1 	-1 	-1 	-1 	-1 	1257 	-1 	-1 	-1 	-1 	-1 	494 	-1 	1 	-1 	-1 	-1 	-1 	-1 	-1 	
665 	929 	856 	-1 	20 	-1 	-1 	1250 	-1 	-1 	-1 	-1 	-1 	-1 	-1 	641 	-1 	-1 	-1 	-1 	-1 	-1 	951 	-1 	-1 	-1 	174 	-1 	-1 	-1 	
648 	290 	970 	921 	-1 	-1 	-1 	-1 	-1 	-1 	982 	-1 	-1 	-1 	36 	-1 	-1 	-1 	-1 	1204 	-1 	-1 	-1 	-1 	-1 	-1 	-1 	-1 	-1 	-1 	
754 	958 	861 	89 	-1 	-1 	-1 	-1 	847 	-1 	-1 	-1 	335 	-1 	-1 	-1 	-1 	193 	-1 	-1 	-1 	-1 	-1 	-1 	-1 	-1 	-1 	-1 	487 	-1 	
807 	364 	1233 	-1 	-1 	-1 	619 	-1 	-1 	257 	-1 	-1 	47 	-1 	-1 	-1 	-1 	-1 	-1 	444 	-1 	-1 	-1 	-1 	-1 	-1 	-1 	-1 	-1 	923 	
1163 	886 	651 	902 	-1 	-1 	-1 	640 	-1 	-1 	-1 	-1 	-1 	49 	-1 	-1 	-1 	-1 	-1 	-1 	-1 	-1 	-1 	-1 	484 	-1 	-1 	-1 	-1 	-1 	
1015 	527 	818 	-1 	-1 	480 	-1 	-1 	-1 	-1 	-1 	1100 	1166 	-1 	-1 	-1 	-1 	-1 	-1 	-1 	-1 	-1 	-1 	-1 	604 	-1 	-1 	1050 	-1 	-1 	
1239 	575 	1213 	-1 	-1 	-1 	922 	-1 	-1 	-1 	-1 	858 	-1 	-1 	-1 	733 	-1 	-1 	-1 	-1 	417 	-1 	-1 	-1 	-1 	-1 	-1 	-1 	-1 	-1 	
1261 	549 	900 	-1 	-1 	-1 	387 	-1 	869 	-1 	-1 	-1 	-1 	414 	-1 	-1 	-1 	-1 	-1 	-1 	-1 	-1 	624 	-1 	-1 	131 	-1 	-1 	-1 	-1 	
1269 	340 	704 	-1 	-1 	1268 	-1 	-1 	-1 	-1 	970 	-1 	-1 	947 	-1 	-1 	-1 	-1 	1060 	-1 	-1 	-1 	-1 	-1 	-1 	-1 	157 	-1 	-1 	-1 	
